,Cases,Deaths
2021-06-10,1433445.2857142857,39159.857142857145
2021-06-11,1440598.5714285714,39308.42857142857
2021-06-12,1447559.4285714286,39461.57142857143
2021-06-13,1454490.4285714286,39612.71428571428
2021-06-14,1461316.0,39763.28571428572
2021-06-15,1468004.857142857,39913.857142857145
2021-06-16,1474546.4285714286,40062.28571428572
2021-06-17,1480939.7142857143,40216.42857142857
2021-06-18,1487165.7142857143,40370.142857142855
2021-06-19,1493206.142857143,40525.42857142857
2021-06-20,1498998.2857142857,40683.0
2021-06-21,1504649.7142857143,40838.28571428572
2021-06-22,1510138.857142857,40993.0
2021-06-23,1515402.857142857,41147.0
2021-06-24,1520208.7142857143,41300.857142857145
2021-06-25,1524847.2857142857,41458.142857142855
2021-06-26,1529328.2857142857,41612.0
2021-06-27,1533626.142857143,41765.142857142855
2021-06-28,1537756.7142857143,41919.857142857145
2021-06-29,1541772.5714285714,42078.71428571428
2021-06-30,1545700.142857143,42237.857142857145
2021-07-01,1549512.2857142857,42395.42857142857
2021-07-02,1553104.0,42548.28571428572
2021-07-03,1556506.7142857143,42700.857142857145
2021-07-04,1559746.857142857,42851.857142857145
2021-07-05,1562814.142857143,43003.142857142855
2021-07-06,1565770.0,43145.71428571428
2021-07-07,1568689.142857143,43284.857142857145
2021-07-08,1571694.0,43418.142857142855
2021-07-09,1574519.4285714286,43547.28571428572
2021-07-10,1577190.7142857143,43672.28571428572
2021-07-11,1579718.4285714286,43794.57142857143
2021-07-12,1582149.142857143,43914.57142857143
2021-07-13,1584495.142857143,44032.28571428572
2021-07-14,1586751.4285714286,44150.57142857143
2021-07-15,1588880.7142857143,44267.57142857143
2021-07-16,1590903.2857142857,44385.0
2021-07-17,1592806.2857142857,44502.0
2021-07-18,1594577.857142857,44617.857142857145
2021-07-19,1596186.4285714286,44729.0
2021-07-20,1597753.7142857143,44838.42857142857
2021-07-21,1599285.7142857143,44943.0
2021-07-22,1600745.2857142857,45046.142857142855
2021-07-23,1602146.5714285714,45146.857142857145
2021-07-24,1603470.5714285714,45246.71428571428
2021-07-25,1604798.857142857,45342.57142857143
2021-07-26,1606150.5714285714,45436.57142857143
2021-07-27,1607469.4285714286,45527.857142857145
2021-07-28,1608764.142857143,45618.857142857145
2021-07-29,1609989.142857143,45711.142857142855
2021-07-30,1611170.7142857143,45802.42857142857
2021-07-31,1612316.7142857143,45892.857142857145
2021-08-01,1613426.0,45986.0
2021-08-02,1614498.4285714286,46080.28571428572
2021-08-03,1615550.857142857,46176.28571428572
2021-08-04,1616588.857142857,46270.42857142857
2021-08-05,1617603.2857142857,46360.28571428572
2021-08-06,1618595.0,46449.57142857143
2021-08-07,1619557.5714285714,46533.142857142855
2021-08-08,1620474.857142857,46610.0
2021-08-09,1621398.2857142857,46679.42857142857
2021-08-10,1622307.7142857143,46744.28571428572
2021-08-11,1623203.857142857,46803.57142857143
2021-08-12,1624090.2857142857,46858.42857142857
2021-08-13,1624927.0,46907.857142857145
2021-08-14,1625753.2857142857,46956.857142857145
2021-08-15,1626586.0,47003.57142857143
2021-08-16,1627388.2857142857,47050.42857142857
2021-08-17,1628175.0,47096.142857142855
2021-08-18,1628942.857142857,47141.71428571428
2021-08-19,1629670.7142857143,47188.142857142855
2021-08-20,1630386.857142857,47233.42857142857
2021-08-21,1631081.142857143,47279.0
2021-08-22,1631741.7142857143,47326.57142857143
2021-08-23,1632379.142857143,47371.857142857145
2021-08-24,1633014.0,47415.42857142857
2021-08-25,1633634.2857142857,47459.142857142855
2021-08-26,1634244.142857143,47500.71428571428
2021-08-27,1634842.142857143,47543.42857142857
2021-08-28,1635425.142857143,47582.57142857143
2021-08-29,1635998.4285714286,47618.71428571428
2021-08-30,1636560.7142857143,47657.28571428572
2021-08-31,1637118.0,47695.142857142855
2021-09-01,1637682.2857142857,47729.57142857143
2021-09-02,1638216.5714285714,47762.0
2021-09-03,1638725.857142857,47791.0
2021-09-04,1639216.142857143,47818.28571428572
2021-09-05,1639682.142857143,47846.71428571428
2021-09-06,1640138.7142857143,47872.42857142857
2021-09-07,1640583.857142857,47898.142857142855
2021-09-08,1641015.7142857143,47925.142857142855
2021-09-09,1641436.857142857,47952.857142857145
2021-09-10,1641860.2857142857,47979.857142857145
2021-09-11,1642283.7142857143,48007.28571428572
2021-09-12,1642709.4285714286,48033.28571428572
2021-09-13,1643140.0,48059.0
2021-09-14,1643574.4285714286,48083.0
2021-09-15,1644015.4285714286,48105.142857142855
2021-09-16,1644468.857142857,48126.0
2021-09-17,1644932.7142857143,48147.42857142857
2021-09-18,1645413.2857142857,48167.857142857145
2021-09-19,1645898.7142857143,48186.28571428572
2021-09-20,1646356.7142857143,48202.57142857143
2021-09-21,1646813.0,48217.71428571428
2021-09-22,1647286.857142857,48231.42857142857
2021-09-23,1647799.5714285714,48243.57142857143
2021-09-24,1648347.4285714286,48254.57142857143
2021-09-25,1648917.5714285714,48264.57142857143
2021-09-26,1649529.142857143,48274.142857142855
2021-09-27,1650188.857142857,48283.42857142857
2021-09-28,1650870.142857143,48292.142857142855
2021-09-29,1651563.857142857,48301.71428571428
2021-09-30,1652257.4285714286,48311.142857142855
2021-10-01,1652947.857142857,48320.857142857145
2021-10-02,1653647.7142857143,48331.142857142855
2021-10-03,1654340.857142857,48341.42857142857
2021-10-04,1655039.7142857143,48351.857142857145
2021-10-05,1655747.4285714286,48362.57142857143
2021-10-06,1656467.142857143,48373.28571428572
2021-10-07,1657198.857142857,48384.0
2021-10-08,1657956.142857143,48395.0
2021-10-09,1658739.857142857,48405.42857142857
2021-10-10,1659572.857142857,48415.71428571428
2021-10-11,1660448.142857143,48425.57142857143
2021-10-12,1661340.0,48435.57142857143
2021-10-13,1662237.2857142857,48445.857142857145
2021-10-14,1663170.142857143,48457.142857142855
2021-10-15,1664195.142857143,48466.857142857145
2021-10-16,1665318.857142857,48477.142857142855
2021-10-17,1666507.0,48488.0
2021-10-18,1667747.2857142857,48498.857142857145
2021-10-19,1669033.857142857,48509.857142857145
2021-10-20,1670391.142857143,48520.57142857143
2021-10-21,1671834.4285714286,48530.71428571428
2021-10-22,1673331.0,48541.57142857143
2021-10-23,1674871.142857143,48552.57142857143
2021-10-24,1676453.7142857143,48564.42857142857
2021-10-25,1678080.2857142857,48577.42857142857
2021-10-26,1679738.857142857,48590.142857142855
2021-10-27,1681466.2857142857,48604.28571428572
2021-10-28,1683242.7142857143,48619.71428571428
2021-10-29,1685058.7142857143,48635.42857142857
2021-10-30,1686895.857142857,48651.42857142857
2021-10-31,1688784.4285714286,48666.42857142857
2021-11-01,1690689.4285714286,48680.71428571428
2021-11-02,1692620.7142857143,48696.71428571428
2021-11-03,1694493.4285714286,48712.0
2021-11-04,1696330.857142857,48726.857142857145
2021-11-05,1698201.0,48742.28571428572
2021-11-06,1700164.5714285714,48758.57142857143
2021-11-07,1702184.7142857143,48776.142857142855
2021-11-08,1704278.4285714286,48794.857142857145
2021-11-09,1706430.0,48813.42857142857
2021-11-10,1708705.0,48832.0
2021-11-11,1711100.5714285714,48851.142857142855
2021-11-12,1713557.5714285714,48870.57142857143
2021-11-13,1716001.2857142857,48889.142857142855
2021-11-14,1718471.5714285714,48909.0
2021-11-15,1720946.5714285714,48929.71428571428
2021-11-16,1723413.4285714286,48950.0
2021-11-17,1725874.0,48971.57142857143
2021-11-18,1728317.142857143,48993.57142857143
2021-11-19,1730725.7142857143,49016.71428571428
2021-11-20,1733121.142857143,49041.42857142857
2021-11-21,1735500.5714285714,49066.0
2021-11-22,1737863.142857143,49091.42857142857
2021-11-23,1740235.857142857,49118.857142857145
2021-11-24,1742596.2857142857,49148.28571428572
2021-11-25,1744965.142857143,49178.57142857143
2021-11-26,1747330.5714285714,49207.857142857145
2021-11-27,1749699.2857142857,49236.142857142855
2021-11-28,1752023.2857142857,49263.57142857143
2021-11-29,1754317.5714285714,49291.28571428572
2021-11-30,1756558.4285714286,49318.0
