date,DifAcumModB2,DifAcumDatB2,DifFalleModB2,DifFalleDatB2,DifAcumModB2Por,DifAcumDatB2Por,DifFalleModB2Por,DifFalleDatB2Por
2021-11-21,47252.12680222909,,620.0650602766182,,70.9642971413644,72.34337003348261,68.42542027635515,54.55956109053329
2021-11-22,51021.441886057844,,668.2515105264902,,71.94064290960569,78.12576401304901,69.48445745966289,83.76566729380399
2021-11-23,55037.103280815994,,719.6126292497574,,72.95493228786894,74.13264465732803,70.51687516385711,81.959421509615
2021-11-24,59318.39086301788,,774.3357221273036,,74.01298468340119,71.5757431620525,71.52875995125613,47.23309898063257
2021-11-25,63885.57359974901,,832.6248507000637,,75.0471902833921,73.64418381894691,72.52036868198344,68.45361921048982
2021-11-26,68751.88649680582,,894.6937760540823,,76.00968460887803,74.11843887641207,73.49140618340783,58.832398162002676
2021-11-27,73917.766351911,,960.7452803288907,,76.87188900697059,78.70493875847536,74.43755220252062,67.14214913272673
2021-11-28,79393.90254616528,,1030.9739793268673,,77.69349857640917,83.79100181956517,75.35720890634008,69.70156345246507
2021-11-29,85198.50723108649,,1105.588927317447,,78.48659751458666,87.95870203751201,76.2509018500221,97.1127607347995
2021-11-30,91351.61035041674,,1184.8177977152664,,79.3105928777806,86.22313449594425,77.11818807812077,90.82906368616243
2021-12-01,97879.81608029967,,1268.907562859269,,80.18018263527831,82.91105992122611,77.96465539120828,58.92810297005286
2021-12-02,104805.11098004994,,1358.1252291558849,,80.98149890224884,85.27050667387417,78.79159645808096,70.01651765731738
2021-12-03,112128.33345277887,,1452.7272316875606,,81.69914956038703,89.90234199102015,79.59462081477045,79.35145034305793
2021-12-04,119855.14374490641,,1552.9502582713321,,82.38939299764118,87.09841660151972,80.37340628102183,72.72298878252097
2021-12-05,127997.28202572907,,1659.0264923223222,,83.05525334652697,91.32951274620952,81.12935269293828,78.30128263364763
2021-12-06,136570.5547345546,,1771.1935176674378,,83.69189121592397,92.901919398353,81.86286452845874,97.23667689364989
2021-12-07,145590.49975537136,,1889.6926744838638,,84.35138261477321,91.14401581755794,82.57281651160817,96.03969238521641
2021-12-08,155096.23939032294,,2014.7932846536933,,85.05489132875819,90.14462856218834,83.26331911792448,62.78432107765705
2021-12-09,165107.39671340678,,2146.7950637481554,,85.69633586034725,92.22557554424468,83.93630878269573,77.07908205908865
2021-12-10,175601.15251531126,,2285.950910035157,,86.25702039599109,92.04661792236288,84.58814564215591,95.38080411163402
2021-12-11,186565.7769692964,,2432.4493875822154,,86.80326341995905,91.67195357159439,85.21891595479094,77.86509843677977
2021-12-12,197999.81264504674,,2586.448565236373,,87.34406903471917,93.83744227917329,85.83077376577292,84.06992476706105
2021-12-13,209905.42413185025,,2748.0876771251205,,87.87154238696529,95.10733218786783,86.42471157890984,96.4290005765888
2021-12-14,222297.7153265765,,2917.500468705599,,88.41103136448142,94.70038776056347,86.99949043182481,98.03807822796199
2021-12-15,235226.68941218965,,3094.876532668539,,88.97115641383496,93.31083804109765,87.55621832677771,78.29704000559975
2021-12-16,248713.69318903238,,3280.454262345549,,89.5146755670872,93.8413386647386,88.09457576685638,82.29065941384616
2021-12-17,262754.27309601894,,3474.4585753911524,,90.0214527689489,94.27455690112161,88.61521410157006,87.75057174282492
2021-12-18,277298.09832896735,,3677.0170901847378,,90.47046722421751,95.14333989728271,89.11745157592138,89.87095707993663
2021-12-19,292330.99449748755,,3888.174141714808,,90.89395809851801,95.95816624482158,89.60090767906287,91.43871939858298
2021-12-20,307847.9194594864,,4107.956572505464,,91.30542093132196,97.06297092257273,90.06639539289144,96.45145251241004
2021-12-21,323858.0748035461,,4336.387377326551,,91.71949813451258,96.04173205117849,90.51364584875812,97.71002811194731
2021-12-22,340402.6146161021,,4573.543945896643,,92.145774021231,95.0266340702048,90.9438838079552,80.0366925178994
2021-12-23,357485.2915891744,,4819.5437497885,,92.54379688385352,95.58936500891248,91.35828205627277,89.24770206689716
2021-12-24,375068.17975502275,,5074.442607571291,,92.90176557182174,95.80123069670637,91.75606563735667,89.91202664149868
2021-12-25,393122.95610273513,,5338.214706180268,,93.24368944832904,96.68629372778103,92.13740611673721,92.90168463194475
2021-12-26,411638.2808227851,,5610.7984712182515,,93.5765871611053,97.94279429091104,92.50321197431973,92.76598530708924
2021-12-27,430606.45531004225,,5892.1181463675675,,93.89291315119794,97.53954567870088,92.85427575446388,99.03936787818446
2021-12-28,450030.30414163764,,6182.09681867859,,94.19770267772071,96.34222592393694,93.19006332352632,98.75167014822203
2021-12-29,469937.17172167427,,6480.703995910786,,94.50505080414744,95.70209265564255,93.51128606497514,89.95605097696162
2021-12-30,490320.62233525235,,6787.94096346866,,94.79006491184178,95.41320860596237,93.8191654708775,94.35531513966193
2021-12-31,511131.1600654628,,7103.736120869158,,0.0,0.0,0.0,0.0
